"COLON-07Z-08/08/001","P46023","700710808001","working","2020-09-27 22:42:37","46,39","P46023-E85039-ANTEL-RADIOBASE-CELULAR","COLON-07Z","08","08","001"
"CORDON-08Z-13/07/001","P61576","700811307001","working","2020-09-16 22:45:50","57,33","E83609 RadioBase P61576","CORDON-08Z","13","07","001"
"CORDON-08Z-13/07/003","P61581","700811307003","working","2020-09-16 22:45:54","57,33","P61581 RadioBase","CORDON-08Z","13","07","003"
"CORDON-08Z-13/07/004","P61582","700811307004","working","2020-09-30 19:19:19","43,44","P61582 RadioBase","CORDON-08Z","13","07","004"
"CORDON-09Z-02/05/016","P47135","700910205016","working","2020-02-11 13:16:29","275,69","P47135-24016561-ANTEL-RADIOBASE-CELULAR","CORDON-09Z","02","05","016"
"CORDON-09Z-07/04/002","P56644","700910704002","working","2020-07-29 14:04:42","106,64","P56644 RadioBase","CORDON-09Z","07","04","002"
"CORDON-09Z-14/04/030","P56647","700911404030","working","2020-09-11 19:24:50","62,45","E83297 RadioBase P56647","CORDON-09Z","14","04","030"
"CORDON-09Z-15/08/010","P56655","700911508010","working","2020-09-22 12:58:38","51,68","P56655 RadioBase","CORDON-09Z","15","08","010"
"CORDON-10Z-15/07/001","P50260","701011507001","working","2020-09-22 11:44:22","51,78","P50260 E833904-ANTEL RADIOBASE CELULAR","CORDON-10Z","15","07","001"
"CORDON-11Z-12/04/007","P56651","701111204007","working","2020-10-25 17:26:53","18,61","P56651 RadioBase","CORDON-11Z","12","04","007"
"CORDON-16Z-12/05/027","P69854","701611205027","working","2020-01-16 07:45:19","302,00","\N","CORDON-16Z","12","05","027"
"CORDON-18Z-03/05/001","P69340","701810305001","working","2020-07-17 13:22:01","118,64","P69340 ANTEL-RADIOBASE-CELULAR","CORDON-18Z","03","05","001"
"CENTENARIO-13Z-02/04/002","P61347","701310204002","OffLine","2020-11-13 04:23:30","0,00","P61347 E83748 RADIOBASE","CENTENARIO-13Z","02","04","002"
"CENTRO-01Z-06/02/001","P47030","700110602001","working","2020-09-26 09:44:34","47,86","P47030-29092215-ANTEL-RADIOBASE-CELULAR","CENTRO-01Z","06","02","001"
"CENTRO-04Z-04/05/014","P54038","700410405014","working","2020-09-23 13:29:01","50,69","E83098 RadioBase P54038","CENTRO-04Z","04","05","014"
